document_number,first_name,last_name,sex,date_of_birth,category,team,nationality,eps,phone
1010000001,Santiago,Gómez,male,2015-01-01,Infantil Masculina,Liga de Antioquia,Colombia,Sanitas,3030000012
1010000002,Mateo,Rodríguez,male,2015-02-03,Infantil Masculina,Pedal Caldas,Colombia,Compensar,3030000013
1010000003,Sebastián,Martínez,male,2015-03-05,Infantil Masculina,Valle Élite,Colombia,Salud Total,3030000014
1010000004,Samuel,García,male,2015-04-07,Infantil Masculina,,Colombia,Sanitas,3030000015
1010000005,Nicolás,López,male,2015-05-09,Infantil Masculina,Liga de Antioquia,Colombia,Compensar,3030000016
1010000006,Andrés,Hernández,male,2015-06-11,Infantil Masculina,Pedal Caldas,Colombia,Salud Total,3030000017
1010000007,Tomás,González,male,2015-07-13,Infantil Masculina,Valle Élite,Colombia,Sanitas,3030000018
1010000008,Daniel,Ramírez,male,2015-08-15,Infantil Masculina,,Colombia,Compensar,3030000019
1010000009,Juan,Torres,male,2015-09-17,Infantil Masculina,Liga de Antioquia,Colombia,Salud Total,3030000020
1010000010,Diego,Vargas,male,2015-10-19,Infantil Masculina,Pedal Caldas,Colombia,Sanitas,3030000021
1010000011,Felipe,Castro,male,2016-11-21,Infantil Masculina,Valle Élite,Colombia,Compensar,3030000022
1010000012,Gabriel,Rojas,male,2016-12-23,Infantil Masculina,,Colombia,Salud Total,3030000023
1010000013,David,Moreno,male,2016-01-25,Infantil Masculina,Liga de Antioquia,Colombia,Sanitas,3030000024
1010000014,Emiliano,Muñoz,male,2016-02-27,Infantil Masculina,Pedal Caldas,Colombia,Compensar,3030000025
1010000015,Martín,Ortiz,male,2016-03-01,Infantil Masculina,Valle Élite,Colombia,Salud Total,3030000026
1010000016,Simón,Suárez,male,2016-04-03,Infantil Masculina,,Colombia,Sanitas,3030000027
1010000017,Alejandro,Jiménez,male,2016-05-05,Infantil Masculina,Liga de Antioquia,Colombia,Compensar,3030000028
1010000018,Esteban,Díaz,male,2016-06-07,Infantil Masculina,Pedal Caldas,Colombia,Salud Total,3030000029
1010000019,Miguel,Cárdenas,male,2016-07-09,Infantil Masculina,Valle Élite,Colombia,Sanitas,3030000030
1010000020,Carlos,Restrepo,male,2016-12-31,Infantil Masculina,,Colombia,Compensar,3030000031
1010000021,Sofía,Quintero,female,2015-01-01,Infantil Femenina,Valle Élite,Colombia,Compensar,3030000032
1010000022,Isabella,Mejía,female,2015-02-03,Infantil Femenina,,Colombia,Salud Total,3030000033
1010000023,Valentina,Arias,female,2015-03-05,Infantil Femenina,Liga de Antioquia,Colombia,Sanitas,3030000034
1010000024,Mariana,Patiño,female,2015-04-07,Infantil Femenina,Pedal Caldas,Colombia,Compensar,3030000035
1010000025,Salomé,Bedoya,female,2015-05-09,Infantil Femenina,Valle Élite,Colombia,Salud Total,3030000036
